latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,confidence,version,bright_ti5,frp,daynight
42.79831,-80.0992,310.44,0.39,0.44,2024-06-26,06:50,N21,nominal,2.0NRT,290.37,1.65,N
41.56829,-84.04819,311.65,0.6,0.53,2024-06-26,06:50,N21,nominal,2.0NRT,289.8,2.03,N
41.56875,-84.0554,303.84,0.6,0.53,2024-06-26,06:50,N21,nominal,2.0NRT,289.26,2.03,N
40.63643,-74.21508,295.99,0.38,0.36,2024-06-26,06:50,N21,nominal,2.0NRT,271.73,1.59,N
41.74917,-81.28636,303.68,0.43,0.46,2024-06-26,06:50,N21,nominal,2.0NRT,290.02,0.89,N
41.74898,-81.28476,307.78,0.43,0.46,2024-06-26,06:50,N21,nominal,2.0NRT,289.99,1.29,N
42.28089,-83.11196,308.67,0.54,0.51,2024-06-26,06:50,N21,nominal,2.0NRT,283.71,2.02,N
42.28939,-83.16439,303.75,0.55,0.51,2024-06-26,06:50,N21,nominal,2.0NRT,281.14,1.92,N
42.29828,-83.15653,299.13,0.55,0.51,2024-06-26,06:50,N21,nominal,2.0NRT,278.29,1.1,N
42.30248,-83.14931,299.07,0.55,0.51,2024-06-26,06:50,N21,nominal,2.0NRT,277.74,1.55,N
42.30297,-83.15592,299.16,0.55,0.51,2024-06-26,06:50,N21,nominal,2.0NRT,277.58,1.1,N
42.31051,-82.05351,301.01,0.48,0.48,2024-06-26,06:50,N21,nominal,2.0NRT,289.65,0.68,N
42.77526,-82.48319,296.1,0.51,0.49,2024-06-26,06:50,N21,nominal,2.0NRT,276.2,0.63,N
42.8181,-81.32729,302.03,0.45,0.47,2024-06-26,06:50,N21,nominal,2.0NRT,286.31,0.8,N
46.36424,-67.73607,296.33,0.45,0.39,2024-06-26,06:50,N21,nominal,2.0NRT,285.87,0.6,N
46.48972,-81.03412,305.12,0.48,0.48,2024-06-26,06:50,N21,nominal,2.0NRT,287,1.01,N
46.53102,-84.35692,297.64,0.34,0.56,2024-06-26,06:50,N21,nominal,2.0NRT,284.47,0.7,N
46.52643,-84.37093,299.44,0.34,0.56,2024-06-26,06:50,N21,nominal,2.0NRT,285,1.5,N
46.52144,-84.37596,329.22,0.35,0.56,2024-06-26,06:50,N21,nominal,2.0NRT,288.07,1.5,N
46.52163,-84.38052,316.99,0.35,0.56,2024-06-26,06:50,N21,nominal,2.0NRT,285.67,2.2,N
46.52124,-84.37141,301.19,0.34,0.56,2024-06-26,06:50,N21,nominal,2.0NRT,284.46,1.5,N
46.52982,-84.35906,297.07,0.34,0.56,2024-06-26,06:50,N21,nominal,2.0NRT,284.69,0.51,N
46.5253,-84.37305,301.31,0.34,0.56,2024-06-26,06:50,N21,nominal,2.0NRT,285.33,1.61,N
46.52032,-84.37807,322.18,0.34,0.56,2024-06-26,06:50,N21,nominal,2.0NRT,286.97,1.92,N
46.52055,-84.38261,305.34,0.35,0.56,2024-06-26,06:50,N21,nominal,2.0NRT,283.97,1.92,N
46.52011,-84.37352,307.65,0.34,0.56,2024-06-26,06:50,N21,nominal,2.0NRT,284.88,1.61,N
46.51601,-84.39657,322.59,0.35,0.56,2024-06-26,06:50,N21,nominal,2.0NRT,285.65,2.17,N
45.97543,-85.87569,299.36,0.41,0.6,2024-06-26,06:50,N21,nominal,2.0NRT,285.27,0.85,N
45.0729,-83.40208,321.37,0.6,0.53,2024-06-26,06:50,N21,nominal,2.0NRT,291.19,5.35,N
43.49094,-79.62662,302.31,0.57,0.43,2024-06-26,06:50,N21,nominal,2.0NRT,291.61,0.98,N
42.95338,-76.57215,301.19,0.43,0.38,2024-06-26,06:50,N21,nominal,2.0NRT,287.47,0.64,N
43.27263,-79.79515,337.25,0.38,0.44,2024-06-26,06:50,N21,nominal,2.0NRT,292.91,4.17,N
43.29092,-79.98454,303.35,0.39,0.44,2024-06-26,06:50,N21,nominal,2.0NRT,290.11,0.58,N
43.27354,-79.80458,307.05,0.38,0.44,2024-06-26,06:50,N21,nominal,2.0NRT,292.08,1.97,N
43.27309,-79.79987,310.13,0.38,0.44,2024-06-26,06:50,N21,nominal,2.0NRT,292.13,1.97,N
43.26955,-79.80528,315.17,0.38,0.44,2024-06-26,06:50,N21,nominal,2.0NRT,292.64,1.97,N
43.26558,-79.80601,328.65,0.38,0.44,2024-06-26,06:50,N21,nominal,2.0NRT,292.93,2.68,N
42.0493,-73.97779,303,0.38,0.36,2024-06-26,06:50,N21,nominal,2.0NRT,283.39,0.75,N
42.81036,-80.09705,305.59,0.39,0.44,2024-06-26,06:50,N21,nominal,2.0NRT,290.48,1.8,N
42.80634,-80.09777,308.24,0.39,0.44,2024-06-26,06:50,N21,nominal,2.0NRT,291.47,1.08,N
42.8028,-80.10328,308.24,0.39,0.44,2024-06-26,06:50,N21,nominal,2.0NRT,290.26,1.51,N
42.80233,-80.09849,301.55,0.39,0.44,2024-06-26,06:50,N21,nominal,2.0NRT,290.35,1.08,N
40.57171,-83.13844,306.26,0.52,0.5,2024-06-26,06:52,N21,nominal,2.0NRT,283.02,2.46,N
41.46819,-83.36745,316.99,0.55,0.51,2024-06-26,06:52,N21,nominal,2.0NRT,285.59,3.71,N
41.4588,-83.36857,304.08,0.55,0.51,2024-06-26,06:52,N21,nominal,2.0NRT,286.1,1.54,N
40.89317,-77.70782,310.98,0.45,0.39,2024-06-26,06:52,N21,nominal,2.0NRT,282.95,1.27,N
41.30634,-82.16532,305.43,0.48,0.48,2024-06-26,06:52,N21,nominal,2.0NRT,286.09,0.93,N
40.66836,-76.38095,300.1,0.41,0.37,2024-06-26,06:52,N21,nominal,2.0NRT,276.62,0.78,N
41.36598,-84.92366,321.96,0.33,0.55,2024-06-26,06:52,N21,nominal,2.0NRT,286.68,1.67,N
41.36574,-84.91969,302.53,0.33,0.55,2024-06-26,06:52,N21,nominal,2.0NRT,285.52,1.67,N
40.75665,-81.43327,306.11,0.43,0.46,2024-06-26,06:52,N21,nominal,2.0NRT,280.62,1.51,N
40.39351,-79.85916,322.56,0.54,0.42,2024-06-26,06:52,N21,nominal,2.0NRT,280.73,5.74,N
40.39283,-79.85281,329.25,0.54,0.42,2024-06-26,06:52,N21,nominal,2.0NRT,281.6,6.91,N
39.96439,-76.59566,303.8,0.41,0.37,2024-06-26,06:52,N21,nominal,2.0NRT,275.67,0.99,N
39.93795,-76.81532,305.69,0.41,0.37,2024-06-26,06:52,N21,nominal,2.0NRT,284.8,1.09,N
40.30349,-79.87599,300.24,0.54,0.42,2024-06-26,06:52,N21,nominal,2.0NRT,278.77,1.06,N
40.31126,-80.61043,317.53,0.39,0.44,2024-06-26,06:52,N21,nominal,2.0NRT,284.17,2.67,N
40.31082,-80.60587,319.74,0.39,0.44,2024-06-26,06:52,N21,nominal,2.0NRT,285.33,2.67,N
39.42251,-74.54106,299.9,0.38,0.36,2024-06-26,06:52,N21,nominal,2.0NRT,277.95,0.51,N
39.38663,-76.4231,306.8,0.4,0.37,2024-06-26,06:52,N21,nominal,2.0NRT,289.25,0.69,N
39.59945,-80.10247,306.03,0.54,0.42,2024-06-26,06:52,N21,nominal,2.0NRT,278.16,0.69,N
39.5982,-80.10329,301.84,0.54,0.42,2024-06-26,06:52,N21,nominal,2.0NRT,278.42,1.34,N
39.44145,-80.15833,310.23,0.54,0.42,2024-06-26,06:52,N21,nominal,2.0NRT,283.02,1.61,N
38.84659,-76.78477,304.59,0.41,0.37,2024-06-26,06:52,N21,nominal,2.0NRT,291.18,0.52,N
39.33258,-81.36417,297.07,0.41,0.45,2024-06-26,06:52,N21,nominal,2.0NRT,272.8,0.49,N
39.07883,-79.69225,299.55,0.51,0.41,2024-06-26,06:52,N21,nominal,2.0NRT,282.93,0.73,N
39.48455,-84.38511,302.47,0.6,0.53,2024-06-26,06:52,N21,nominal,2.0NRT,276.48,1.83,N
39.46996,-84.38677,308.52,0.6,0.53,2024-06-26,06:52,N21,nominal,2.0NRT,273.17,2.5,N
37.06651,-77.18006,304.34,0.4,0.37,2024-06-26,06:52,N21,nominal,2.0NRT,292.93,0.78,N
37.23333,-82.04132,310.1,0.42,0.45,2024-06-26,06:52,N21,nominal,2.0NRT,290.76,1.72,N
37.23286,-82.03642,314.91,0.42,0.45,2024-06-26,06:52,N21,nominal,2.0NRT,290.32,2.05,N
36.81005,-78.54138,309.67,0.44,0.38,2024-06-26,06:52,N21,nominal,2.0NRT,293.24,0.75,N
36.35624,-76.80603,324.37,0.39,0.36,2024-06-26,06:52,N21,nominal,2.0NRT,294.07,2.65,N
36.35356,-76.8111,305.69,0.39,0.36,2024-06-26,06:52,N21,nominal,2.0NRT,294.1,1.04,N
35.5038,-80.32802,310.69,0.5,0.41,2024-06-26,06:52,N21,nominal,2.0NRT,294.09,1.43,N
34.94003,-85.7033,305.42,0.64,0.54,2024-06-26,06:52,N21,nominal,2.0NRT,292.38,2.3,N
34.00372,-78.62419,310.02,0.42,0.37,2024-06-26,06:52,N21,nominal,2.0NRT,293.7,1.6,N
34.47552,-83.25991,337.19,0.46,0.47,2024-06-26,06:52,N21,nominal,2.0NRT,294.69,6.48,N
34.80125,-88.32387,306.19,0.45,0.63,2024-06-26,06:52,N21,nominal,2.0NRT,285.22,1.12,N
34.6392,-87.08981,314.49,0.38,0.59,2024-06-26,06:52,N21,nominal,2.0NRT,294.67,3.5,N
34.63895,-87.08563,316.16,0.38,0.59,2024-06-26,06:52,N21,nominal,2.0NRT,294.49,3.65,N
34.64212,-87.08961,312.53,0.38,0.59,2024-06-26,06:52,N21,nominal,2.0NRT,293.93,2.69,N
34.63644,-87.08586,315.21,0.38,0.59,2024-06-26,06:52,N21,nominal,2.0NRT,294.18,2.64,N
34.51057,-86.64351,308.99,0.36,0.57,2024-06-26,06:52,N21,nominal,2.0NRT,295.88,2.47,N
28.69223,-82.03259,311.69,0.5,0.41,2024-06-26,06:54,N21,nominal,2.0NRT,292.47,2.56,N
32.22288,-86.14619,313.1,0.63,0.54,2024-06-26,06:54,N21,nominal,2.0NRT,289.07,3.1,N
31.96178,-84.28987,304.24,0.49,0.48,2024-06-26,06:54,N21,nominal,2.0NRT,292.64,0.79,N
28.68782,-82.24489,309.08,0.52,0.41,2024-06-26,06:54,N21,nominal,2.0NRT,292.75,1.3,N
28.84432,-82.17054,316.77,0.51,0.41,2024-06-26,06:54,N21,nominal,2.0NRT,292.29,2.97,N
28.84439,-82.16882,316.69,0.51,0.41,2024-06-26,06:54,N21,nominal,2.0NRT,292.47,2.96,N
29.994,-90.39707,305.76,0.54,0.68,2024-06-26,06:54,N21,nominal,2.0NRT,288.53,4.13,N
30.00058,-90.40224,309.18,0.54,0.68,2024-06-26,06:54,N21,nominal,2.0NRT,288.96,4.88,N
29.9987,-90.39904,308.1,0.54,0.68,2024-06-26,06:54,N21,nominal,2.0NRT,288.82,4.49,N
29.999,-90.40468,307.17,0.54,0.68,2024-06-26,06:54,N21,nominal,2.0NRT,288.69,4.13,N
30.58415,-91.2434,302.52,0.62,0.71,2024-06-26,06:54,N21,nominal,2.0NRT,277.35,4.82,N
30.58303,-91.24342,300.58,0.62,0.71,2024-06-26,06:54,N21,nominal,2.0NRT,275.72,4.88,N
30.55875,-87.22934,309.25,0.35,0.57,2024-06-26,06:54,N21,nominal,2.0NRT,290.47,2.95,N
28.16253,-89.24059,324.54,0.44,0.63,2024-06-26,06:54,N21,nominal,2.0NRT,291.93,3.76,N
30.27802,-81.97675,306.24,0.52,0.42,2024-06-26,06:54,N21,nominal,2.0NRT,292.55,1.97,N
30.32101,-81.94802,303.54,0.52,0.42,2024-06-26,06:54,N21,nominal,2.0NRT,293.28,0.95,N
30.93965,-88.01403,336.14,0.4,0.6,2024-06-26,06:54,N21,nominal,2.0NRT,290.13,5.46,N
31.05191,-88.02948,318.22,0.4,0.6,2024-06-26,06:54,N21,nominal,2.0NRT,288.73,1.99,N
31.14949,-87.99098,314.11,0.4,0.6,2024-06-26,06:54,N21,nominal,2.0NRT,288.66,3.68,N
31.1492,-87.98685,329.44,0.4,0.6,2024-06-26,06:54,N21,nominal,2.0NRT,289.7,3.68,N
30.78984,-83.4164,310.52,0.42,0.45,2024-06-26,06:54,N21,nominal,2.0NRT,293.69,1.34,N
28.16285,-89.2451,320.84,0.44,0.63,2024-06-26,06:54,N21,nominal,2.0NRT,291.9,3.48,N
33.53797,-84.59132,316.65,0.53,0.5,2024-06-26,06:54,N21,nominal,2.0NRT,293.82,2.27,N
33.01583,-79.88681,316.5,0.45,0.39,2024-06-26,06:54,N21,nominal,2.0NRT,293.74,2.79,N
33.01229,-79.88745,329.29,0.45,0.39,2024-06-26,06:54,N21,nominal,2.0NRT,294.6,6.18,N
33.01168,-79.88264,307.36,0.45,0.39,2024-06-26,06:54,N21,nominal,2.0NRT,293.65,6.18,N
33.00397,-79.87913,310.41,0.45,0.39,2024-06-26,06:54,N21,nominal,2.0NRT,294.47,1.91,N
33.01868,-80.3285,304.48,0.47,0.4,2024-06-26,06:54,N21,nominal,2.0NRT,292.35,1.03,N
33.58355,-86.78142,312.21,0.36,0.57,2024-06-26,06:54,N21,nominal,2.0NRT,294.93,1.06,N
33.54269,-86.80533,317.92,0.36,0.57,2024-06-26,06:54,N21,nominal,2.0NRT,294.59,1.87,N
33.53409,-86.75966,312.17,0.35,0.57,2024-06-26,06:54,N21,nominal,2.0NRT,294.79,1.54,N
33.53381,-86.75574,308.22,0.35,0.57,2024-06-26,06:54,N21,nominal,2.0NRT,295.02,1.54,N
33.48285,-86.93595,304.63,0.36,0.58,2024-06-26,06:54,N21,nominal,2.0NRT,293.12,1.45,N
33.48354,-86.9351,304.07,0.36,0.58,2024-06-26,06:54,N21,nominal,2.0NRT,293,1.43,N
33.22031,-86.81403,309.86,0.35,0.57,2024-06-26,06:54,N21,nominal,2.0NRT,292.97,1.98,N
33.21862,-86.791,309.79,0.35,0.57,2024-06-26,06:54,N21,nominal,2.0NRT,290.83,1.11,N
33.23637,-87.50813,318.37,0.39,0.59,2024-06-26,06:54,N21,nominal,2.0NRT,292.85,1.7,N
33.23119,-87.51284,306.59,0.39,0.59,2024-06-26,06:54,N21,nominal,2.0NRT,293.69,1.7,N
33.17932,-86.75712,304.76,0.35,0.57,2024-06-26,06:54,N21,nominal,2.0NRT,292.43,1.09,N
31.58058,-87.49191,301.54,0.37,0.58,2024-06-26,06:54,N21,nominal,2.0NRT,286.17,0.81,N
33.07332,-85.56657,303.04,0.6,0.53,2024-06-26,06:54,N21,nominal,2.0NRT,292.27,1.03,N
33.10291,-86.80237,313.47,0.35,0.57,2024-06-26,06:54,N21,nominal,2.0NRT,295.2,1.42,N
33.10262,-86.79848,309.69,0.35,0.57,2024-06-26,06:54,N21,nominal,2.0NRT,295.86,1.42,N
33.09272,-86.80716,307.35,0.35,0.57,2024-06-26,06:54,N21,nominal,2.0NRT,293.16,1.62,N
33.09245,-86.80338,306.97,0.35,0.57,2024-06-26,06:54,N21,nominal,2.0NRT,292.51,1.46,N
32.86988,-86.66071,308.48,0.34,0.56,2024-06-26,06:54,N21,nominal,2.0NRT,292.93,0.55,N
32.65709,-85.50397,307.55,0.59,0.52,2024-06-26,06:54,N21,nominal,2.0NRT,294.16,1.51,N
32.30606,-83.12296,317.32,0.42,0.45,2024-06-26,06:54,N21,nominal,2.0NRT,293.97,1.85,N
31.9859,-82.06895,313.93,0.55,0.43,2024-06-26,06:54,N21,nominal,2.0NRT,287.39,3.56,N
32.40339,-87.30625,304.75,0.37,0.58,2024-06-26,06:54,N21,nominal,2.0NRT,292.12,0.7,N
32.4031,-87.30231,305.55,0.37,0.58,2024-06-26,06:54,N21,nominal,2.0NRT,292.37,0.7,N
32.22786,-86.14565,306.91,0.63,0.54,2024-06-26,06:54,N21,nominal,2.0NRT,286.58,2.62,N
26.28095,-80.15245,323.61,0.41,0.37,2024-06-26,06:57,N21,nominal,2.0NRT,291.82,1.44,N
28.0244,-89.21234,351.59,0.44,0.62,2024-06-26,06:57,N21,nominal,2.0NRT,292.74,7.11,N
28.02634,-89.21476,310.95,0.44,0.62,2024-06-26,06:57,N21,nominal,2.0NRT,292.17,3.53,N
28.02603,-89.21029,337.33,0.44,0.62,2024-06-26,06:57,N21,nominal,2.0NRT,292.38,3.53,N
25.86025,-80.3461,319.53,0.41,0.37,2024-06-26,06:57,N21,nominal,2.0NRT,291,2.31,N
23.01014,-82.74323,305.55,0.47,0.4,2024-06-26,06:57,N21,nominal,2.0NRT,292.25,1.44,N
19.52221,-92.19153,323.58,0.56,0.69,2024-06-26,06:59,N21,nominal,2.0NRT,286.31,10.23,N
17.96553,-76.72989,307.78,0.48,0.4,2024-06-26,06:59,N21,nominal,2.0NRT,295.86,2.57,N
19.56465,-92.24081,325.62,0.56,0.69,2024-06-26,06:59,N21,nominal,2.0NRT,286.3,6.38,N
19.52456,-92.19077,320.52,0.56,0.68,2024-06-26,06:59,N21,nominal,2.0NRT,286.2,10.17,N
19.60103,-92.29119,308.24,0.57,0.69,2024-06-26,06:59,N21,nominal,2.0NRT,285.96,9.22,N
19.60151,-92.29655,367,0.57,0.69,2024-06-26,06:59,N21,high,2.0NRT,286.47,9.22,N
49.48042,-102.85869,299.14,0.54,0.42,2024-06-26,08:30,N21,nominal,2.0NRT,281.66,0.64,N
45.97144,-85.87547,295.85,0.6,0.53,2024-06-26,08:30,N21,nominal,2.0NRT,284.2,0.82,N
45.07391,-83.40657,306.56,0.42,0.61,2024-06-26,08:30,N21,nominal,2.0NRT,287.7,2.43,N
45.07247,-83.40168,316.02,0.42,0.61,2024-06-26,08:30,N21,nominal,2.0NRT,288.56,2.43,N
48.66151,-103.57503,298.02,0.57,0.43,2024-06-26,08:30,N21,nominal,2.0NRT,282.86,0.57,N
48.51976,-103.5496,306.76,0.56,0.43,2024-06-26,08:30,N21,nominal,2.0NRT,283.15,1.5,N
48.51676,-103.54892,299.56,0.56,0.43,2024-06-26,08:30,N21,nominal,2.0NRT,283.16,0.64,N
48.48859,-103.63297,307.57,0.57,0.43,2024-06-26,08:30,N21,nominal,2.0NRT,283.29,1.69,N
47.19651,-94.64027,299.67,0.4,0.37,2024-06-26,08:30,N21,nominal,2.0NRT,285.5,0.69,N
43.27229,-79.80661,298.85,0.69,0.74,2024-06-26,08:30,N21,nominal,2.0NRT,281.11,2.35,N
43.2661,-79.81067,301.76,0.69,0.74,2024-06-26,08:30,N21,nominal,2.0NRT,285.01,2.35,N
48.13988,-103.60484,319.77,0.56,0.43,2024-06-26,08:30,N21,nominal,2.0NRT,285.21,2.87,N
48.14093,-103.65842,315.36,0.56,0.43,2024-06-26,08:30,N21,nominal,2.0NRT,284.2,1.6,N
48.12357,-103.73109,298.68,0.57,0.43,2024-06-26,08:30,N21,nominal,2.0NRT,283.78,0.78,N
47.52369,-111.29681,311.81,0.42,0.61,2024-06-26,08:30,N21,nominal,2.0NRT,285.05,1.8,N
47.5215,-111.29607,310.17,0.42,0.61,2024-06-26,08:30,N21,nominal,2.0NRT,286.05,1.58,N
47.62458,-107.71799,295.6,0.56,0.52,2024-06-26,08:30,N21,nominal,2.0NRT,284.08,1.11,N
47.50611,-103.08287,306.25,0.53,0.42,2024-06-26,08:30,N21,nominal,2.0NRT,283.1,1.38,N
47.50463,-103.08305,307.08,0.53,0.42,2024-06-26,08:30,N21,nominal,2.0NRT,283.4,1.63,N
47.9649,-103.27307,296.19,0.54,0.42,2024-06-26,08:30,N21,nominal,2.0NRT,282.98,0.7,N
47.78911,-103.31026,303.06,0.54,0.42,2024-06-26,08:30,N21,nominal,2.0NRT,283.62,0.84,N
47.74702,-102.70467,296.11,0.51,0.41,2024-06-26,08:30,N21,nominal,2.0NRT,282.62,0.92,N
47.81795,-103.01358,301.32,0.53,0.42,2024-06-26,08:30,N21,nominal,2.0NRT,282.16,0.81,N
47.81653,-103.01408,297.51,0.53,0.42,2024-06-26,08:30,N21,nominal,2.0NRT,281.64,0.82,N
47.8432,-103.00787,298.83,0.53,0.42,2024-06-26,08:30,N21,nominal,2.0NRT,283.03,0.96,N
47.97444,-104.04475,317.56,0.39,0.44,2024-06-26,08:30,N21,nominal,2.0NRT,284.74,1.6,N
48.02541,-104.02354,301.32,0.39,0.44,2024-06-26,08:30,N21,nominal,2.0NRT,284.16,0.72,N
48.02649,-104.02168,305.46,0.39,0.44,2024-06-26,08:30,N21,nominal,2.0NRT,284.41,0.84,N
46.52925,-84.35769,298.57,0.34,0.56,2024-06-26,08:30,N21,nominal,2.0NRT,283.86,0.54,N
46.52679,-84.36886,301.81,0.34,0.56,2024-06-26,08:30,N21,nominal,2.0NRT,283.15,2.78,N
46.51839,-84.3787,345.59,0.34,0.56,2024-06-26,08:30,N21,nominal,2.0NRT,285.68,4.83,N
46.51709,-84.39398,322.88,0.34,0.56,2024-06-26,08:30,N21,nominal,2.0NRT,284.07,1.89,N
46.51233,-84.39689,309.18,0.34,0.56,2024-06-26,08:30,N21,nominal,2.0NRT,283.41,1.24,N
49.35233,-102.72849,310.77,0.53,0.42,2024-06-26,08:30,N21,nominal,2.0NRT,282.06,1.78,N
40.35752,-110.24684,339.02,0.32,0.55,2024-06-26,08:33,N21,nominal,2.0NRT,287.93,3.1,N
44.98932,-92.251,303.78,0.51,0.41,2024-06-26,08:33,N21,nominal,2.0NRT,285.71,1.01,N
41.46185,-81.67829,308.97,0.65,0.73,2024-06-26,08:33,N21,nominal,2.0NRT,281.47,2.78,N
41.46339,-81.67821,302.9,0.65,0.73,2024-06-26,08:33,N21,nominal,2.0NRT,281.11,1.8,N
41.46115,-81.6713,300.36,0.65,0.73,2024-06-26,08:33,N21,nominal,2.0NRT,278.29,1.8,N
46.33032,-111.61763,295.62,0.43,0.62,2024-06-26,08:33,N21,nominal,2.0NRT,283.74,0.58,N
40.75597,-81.43607,295.99,0.7,0.75,2024-06-26,08:33,N21,nominal,2.0NRT,276.57,1.75,N
45.94371,-111.47607,301.91,0.42,0.61,2024-06-26,08:33,N21,nominal,2.0NRT,285.75,1.57,N
45.9458,-111.47462,298.44,0.42,0.61,2024-06-26,08:33,N21,nominal,2.0NRT,285.33,1.51,N
43.41978,-97.70288,305.69,0.39,0.36,2024-06-26,08:33,N21,nominal,2.0NRT,291.12,0.37,N
44.11717,-103.28084,306.99,0.49,0.4,2024-06-26,08:33,N21,nominal,2.0NRT,288.29,1.35,N
43.59115,-105.3297,306.44,0.39,0.44,2024-06-26,08:33,N21,nominal,2.0NRT,286.89,0.94,N
39.47021,-84.38393,304.07,0.55,0.68,2024-06-26,08:33,N21,nominal,2.0NRT,264.03,1.04,N
42.08389,-97.36141,306.63,0.39,0.37,2024-06-26,08:33,N21,nominal,2.0NRT,291.41,0.75,N
42.0798,-97.35776,309.14,0.39,0.37,2024-06-26,08:33,N21,nominal,2.0NRT,291.47,1.26,N
42.81271,-103.61743,309.95,0.49,0.4,2024-06-26,08:33,N21,nominal,2.0NRT,287.66,1.84,N
42.80834,-103.61217,333.36,0.49,0.4,2024-06-26,08:33,N21,nominal,2.0NRT,289.14,3.45,N
42.80901,-103.61803,298.57,0.49,0.4,2024-06-26,08:33,N21,nominal,2.0NRT,287.22,3.45,N
42.80463,-103.61275,334.58,0.49,0.4,2024-06-26,08:33,N21,nominal,2.0NRT,289.74,3.45,N
42.80531,-103.61864,309.52,0.49,0.4,2024-06-26,08:33,N21,nominal,2.0NRT,287.74,3.45,N
42.80163,-103.61935,341.11,0.49,0.4,2024-06-26,08:33,N21,nominal,2.0NRT,289.14,3.97,N
42.80231,-103.62539,310.68,0.49,0.4,2024-06-26,08:33,N21,nominal,2.0NRT,286.88,2.09,N
42.80095,-103.61343,311.51,0.49,0.4,2024-06-26,08:33,N21,nominal,2.0NRT,286.83,3.97,N
42.68364,-111.59234,340.86,0.4,0.6,2024-06-26,08:33,N21,nominal,2.0NRT,265.44,6.55,N
41.39462,-99.64732,299.51,0.38,0.36,2024-06-26,08:33,N21,nominal,2.0NRT,289.11,0.36,N
41.2696,-105.60615,297.09,0.38,0.43,2024-06-26,08:33,N21,nominal,2.0NRT,283.46,1.04,N
41.07623,-108.69625,296.36,0.54,0.51,2024-06-26,08:33,N21,nominal,2.0NRT,282.78,0.82,N
38.00787,-90.07898,296.87,0.61,0.54,2024-06-26,08:33,N21,nominal,2.0NRT,273.48,1.09,N
37.96698,-90.08127,299.97,0.61,0.54,2024-06-26,08:33,N21,nominal,2.0NRT,274.78,1.27,N
37.96849,-90.07925,306,0.62,0.54,2024-06-26,08:33,N21,nominal,2.0NRT,275.11,2.49,N
40.08493,-103.21048,305.22,0.44,0.39,2024-06-26,08:33,N21,nominal,2.0NRT,289.47,2.12,N
40.0843,-103.20532,318.93,0.44,0.39,2024-06-26,08:33,N21,nominal,2.0NRT,288.58,2,N
40.35746,-110.32676,348.1,0.33,0.55,2024-06-26,08:33,N21,nominal,2.0NRT,290.33,4.6,N
40.3577,-110.33047,306.55,0.33,0.55,2024-06-26,08:33,N21,nominal,2.0NRT,287.67,3.27,N
40.3525,-110.24758,301.58,0.32,0.55,2024-06-26,08:33,N21,nominal,2.0NRT,285.91,0.58,N
40.29082,-110.15235,299.86,0.32,0.55,2024-06-26,08:33,N21,nominal,2.0NRT,287.92,0.47,N
39.20399,-103.70139,300.8,0.45,0.39,2024-06-26,08:33,N21,nominal,2.0NRT,289.62,0.7,N
38.08739,-105.05058,302.45,0.5,0.41,2024-06-26,08:35,N21,nominal,2.0NRT,290.26,1.77,N
25.5979,-100.92236,304.62,0.44,0.38,2024-06-26,08:35,N21,nominal,2.0NRT,291.47,0.76,N
38.08799,-105.05576,299.18,0.5,0.41,2024-06-26,08:35,N21,nominal,2.0NRT,286.72,1.77,N
26.8333,-109.55596,308.05,0.42,0.45,2024-06-26,08:35,N21,nominal,2.0NRT,291.44,1.61,N
38.0868,-105.04547,318.73,0.5,0.41,2024-06-26,08:35,N21,nominal,2.0NRT,292.58,1.81,N
38.08619,-105.04015,305.82,0.5,0.41,2024-06-26,08:35,N21,nominal,2.0NRT,288.51,1.81,N
38.0843,-105.05655,315.78,0.5,0.41,2024-06-26,08:35,N21,nominal,2.0NRT,289.48,1.77,N
38.0837,-105.05138,315.82,0.5,0.41,2024-06-26,08:35,N21,nominal,2.0NRT,290.59,1.77,N
38.08311,-105.04628,315.26,0.5,0.41,2024-06-26,08:35,N21,nominal,2.0NRT,289.79,1.81,N
38.08251,-105.04105,302.49,0.5,0.41,2024-06-26,08:35,N21,nominal,2.0NRT,283.68,1.81,N
38.08126,-105.03029,305.35,0.5,0.41,2024-06-26,08:35,N21,nominal,2.0NRT,290.1,1.18,N
38.08001,-105.05219,310.9,0.5,0.41,2024-06-26,08:35,N21,nominal,2.0NRT,281.41,1.55,N
38.07819,-105.03645,303.64,0.5,0.41,2024-06-26,08:35,N21,nominal,2.0NRT,288.22,1.14,N
37.53995,-101.19468,305.08,0.39,0.36,2024-06-26,08:35,N21,nominal,2.0NRT,294.63,1.04,N
36.51791,-97.83987,334.15,0.43,0.38,2024-06-26,08:35,N21,nominal,2.0NRT,297.7,4.32,N
36.18429,-97.58739,314.86,0.44,0.38,2024-06-26,08:35,N21,nominal,2.0NRT,294.58,1.53,N
33.58372,-86.78127,301.76,0.6,0.71,2024-06-26,08:35,N21,nominal,2.0NRT,290.99,0.86,N
35.69638,-101.36179,309.06,0.38,0.36,2024-06-26,08:35,N21,nominal,2.0NRT,297.83,1.81,N
32.22359,-86.15013,311.76,0.71,0.75,2024-06-26,08:35,N21,nominal,2.0NRT,291.32,3.27,N
36.3599,-114.91228,312.92,0.55,0.68,2024-06-26,08:35,N21,nominal,2.0NRT,293.39,9.79,N
32.82571,-91.85605,312.6,0.33,0.55,2024-06-26,08:35,N21,nominal,2.0NRT,287.72,1.51,N
